Tuần,Giai đoạn / Module,Nhiệm vụ chi tiết,Người phụ trách,Kết quả mong đợi (Output),Trạng thái,Ghi chú
,,,,,,
Tuần 1,Khởi động & Thiết kế,Vẽ sơ đồ luồng dữ liệu DFD: từ file CSV đầu vào đến kết quả Top 10 đầu ra,Vinh,File ảnh dfd_v1.png trong docs/,TRUE,Cần có trước khi Hoàng bắt đầu code DataIO
Tuần 1,Khởi động & Thiết kế,Vẽ sơ đồ lớp Class Diagram cho các class: User - Item - Recommender - LSH_Engine,Vinh,File ảnh class_diagram_v1.png trong docs/,TRUE,Cần có trước khi Trí và Hoàng bắt đầu code class
Tuần 1,Khởi động & Thiết kế,Tạo repository Git với cấu trúc thư mục chuẩn và viết README.md khung ban đầu,Vinh,Repo Git đã có đủ thư mục data/ src/ docs/ và file README.md,TRUE,Mọi thành viên phải clone repo này trước khi bắt đầu làm việc
Tuần 1,Khởi động & Thiết kế,Nghiên cứu và viết tài liệu thiết kế chi tiết cho thuật toán MinHash: chọn số hàm băm và tham số,Trí,File minhash_design.md mô tả rõ công thức và tham số sẽ dùng,TRUE,Không phụ thuộc task khác - bắt đầu ngay sau kick-off
Tuần 1,Cơ sở lý thuyết - Chương 2,Đọc tài liệu và soạn thảo mục 2.1: Độ tương đồng Jaccard với công thức toán học và ví dụ minh họa số,Dũng,Nội dung mục 2.1 đã được điền vào BaoCao_Nhom5.docx,FALSE,Không phụ thuộc task khác - có thể bắt đầu ngay từ ngày đầu
Tuần 1,Cơ sở lý thuyết - Chương 2,Đọc tài liệu và soạn thảo mục 2.2: Cơ chế MinHash và LSH với sơ đồ minh họa,Dũng,Nội dung mục 2.2 đã được điền vào BaoCao_Nhom5.docx,FALSE,Nên làm song song với Trí đang nghiên cứu để hỏi trực tiếp cho chính xác
Tuần 1,Cơ sở lý thuyết - Chương 2,Soạn thảo mục 2.4: Bảng so sánh Jaccard vs Cosine vs Dice Similarity (công thức + ưu nhược điểm + trường hợp dùng),Dũng,Bảng so sánh hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Không phụ thuộc task khác
Tuần 1,Cơ sở lý thuyết - Chương 2,Soạn thảo mục 2.5: Item-based Collaborative Filtering và vị trí của nó trong hệ thống Hybrid,Dũng,Nội dung mục 2.5 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Không phụ thuộc task khác
Tuần 1,Xử lý dữ liệu - Nền tảng,Tải dataset Amazon Video Games 5-core và kiểm tra cấu trúc: tên cột / kiểu dữ liệu / tỷ lệ giá trị null,Hoàng,File link_data_that.txt và báo cáo cấu trúc data (data_inspection.md),FALSE,Phải hoàn thành trước khi code hàm loadData()
Tuần 1,Xử lý dữ liệu - Nền tảng,Code class User.py: lưu userID và HashSet các itemID đã tương tác,Hoàng,File src/models/User.py hoạt động đúng với unit test đơn giản,FALSE,Phụ thuộc Class Diagram từ Vinh
Tuần 1,Xử lý dữ liệu - Nền tảng,Code class Item.py: lưu itemID và HashSet các userID đã tương tác,Hoàng,File src/models/Item.py hoạt động đúng với unit test đơn giản,FALSE,Phụ thuộc Class Diagram từ Vinh
Tuần 1,Chuẩn bị kiểm thử,Viết script cắt file Amazon 500k dòng thành các file mẫu: sample_1k / sample_10k / sample_50k,Huy,3 file CSV mẫu chuẩn trong thư mục data/,FALSE,Phụ thuộc Hoàng tải xong dataset gốc
Tuần 1,Chuẩn bị kiểm thử,Lập khung bảng Test Cases (TC01 đến TC05) với cột ID / Kịch bản / Input / Kết quả mong đợi / Trạng thái,Huy,File testcases.xlsx với các dòng TC đã có kịch bản và input mẫu,FALSE,Không phụ thuộc task code - làm dựa trên yêu cầu đề bài
,,,,,,
Tuần 2,Thuật toán Core - MinHash & LSH,Code class MinHash.py: sinh chữ ký MinHash cho tập HashSet của từng User theo thiết kế đã có,Trí,File src/core/MinHash.py với hàm generate_signature() hoạt động,FALSE,Phụ thuộc tài liệu thiết kế MinHash và User.py từ Tuần 1
Tuần 2,Thuật toán Core - MinHash & LSH,Code class LSH_Engine.py: băm vector chữ ký MinHash vào các rổ Buckets theo cơ chế band và row,Trí,File src/core/LSH_Engine.py với hàm build_buckets() và get_candidates() hoạt động,FALSE,Phụ thuộc MinHash.py hoàn chỉnh trong cùng tuần
Tuần 2,Thuật toán Core - MinHash & LSH,Tự kiểm tra MinHash và LSH_Engine trên file sample_1k: đảm bảo các bucket sinh ra hợp lý và không lỗi,Trí,Báo cáo kiểm tra ngắn gửi vào nhóm chat (self_test_report.md),FALSE,Phải làm trước khi bàn giao code cho Vinh tích hợp
Tuần 2,Xử lý dữ liệu - DataIO & Giao diện,Code hàm loadData() trong DataIO.py: đọc CSV và đổ dữ liệu vào HashMap chứa các đối tượng User và Item,Hoàng,Hàm loadData() trong src/utils/DataIO.py hoạt động và in được thống kê số user/item đã load,FALSE,Phụ thuộc User.py và Item.py từ Tuần 1
